seed_0,seed_1,mean_reward,std_reward,upper,lower,timesteps
-14.641437983185028,-6.712068450170648,-10.676753216677849,6.383528193309254,-4.2932250233686,-17.060281409987084,13650
-14.63100420253471,-7.219458842047674,-10.9252315222912,6.389892583815854,-4.535338938475352,-17.315124106107035,13800
-14.416780452122264,-7.594852872675176,-11.005816662398729,6.684701474335828,-4.321115188062905,-17.69051813673454,13950
-14.686862061437342,-8.092858637193473,-11.389860349315416,6.685022512203943,-4.7048378371114765,-18.07488286151934,14100
-14.680360085162105,-8.29058070091118,-11.485470393036652,6.582910492207471,-4.902559900829185,-18.068380885244107,14250
-14.272059840211918,-8.056686203609736,-11.164373021910837,6.4957076183831,-4.66866540352774,-17.66008064029392,14400
-14.20304850477682,-8.136607888460327,-11.169828196618587,6.421241108240255,-4.748587088378332,-17.591069304858824,14550
-13.686720540918113,-8.539232411826756,-11.112976476372449,6.565678418580558,-4.54729805779189,-17.678654894952984,14700
-13.579508175139917,-8.38611177358505,-10.982809974362496,6.588632554812314,-4.394177419550184,-17.57144252917479,14850
-13.5262185208423,-8.648064680085332,-11.087141600463829,6.431011274413362,-4.656130326050467,-17.51815287487717,15000
-13.963444604228867,-8.816321838000638,-11.389883221114767,6.565495737148992,-4.824387483965774,-17.95537895826374,15150
-13.992930876028021,-8.826810466725156,-11.409870671376602,6.574994558686311,-4.83487611269029,-17.984865230062894,15300
-14.691857441097936,-8.655599038297005,-11.673728239697484,6.81714647586988,-4.856581763827604,-18.490874715567347,15450
-14.561298850985477,-9.20090833673199,-11.881103593858747,6.74487241041044,-5.136231183448308,-18.62597600426917,15600
-14.529467391743252,-9.462068059062332,-11.995767725402807,6.799453241542334,-5.196314483860472,-18.79522096694512,15750
-14.457259693729455,-9.24190298630224,-11.849581340015863,6.7254745541691845,-5.124106785846676,-18.575055894185027,15900
-14.224411820339553,-9.568720277674595,-11.896566049007092,6.780504977705908,-5.116061071301181,-18.67707102671298,16050
-13.720747421780676,-9.936579285449623,-11.828663353615168,7.0121939168222385,-4.816469436792925,-18.840857270437382,16200
-13.844765383092765,-9.721074199625313,-11.782919791359058,7.181955440390437,-4.600964350968615,-18.964875231749474,16350
-13.998650607494493,-9.048434952140076,-11.523542779817305,7.516753190354199,-4.006789589463099,-19.040295970171478,16500
-14.089593832528578,-8.980243211918493,-11.534918522223558,7.596320672982032,-3.938597849241518,-19.131239195205563,16650
-13.59045377543126,-9.053841331443289,-11.322147553437299,7.3099515846709755,-4.012195968766313,-18.632099138108245,16800
-13.66610760668691,-9.447922806594157,-11.557015206640559,7.22362605309499,-4.333389153545557,-18.780641259735518,16950
-13.841394347230416,-9.443673891626583,-11.642534119428525,7.313393880850531,-4.329140238577983,-18.955928000279027,17100
-13.129915453275125,-9.209280828450282,-11.169598140862732,7.5519367962400255,-3.617661344622694,-18.721534937102724,17250
